DBN,School Name,School Type,Final 2021-22 Number of Classes,Final 2021-22 Number of Students,Final 2021-22 Average Class Size,Final 2019-20 Number of Classes,Final 2019-20 Number of Students,Final 2019-20 Average Class Size,DIFF Number of Classes,DIFF Number of Students,DIFF Average Class Size
05M046,PS 046 ARTHUR TAPPAN,K-8,48,991,20.6,49,1251,25.5,-1,-260,-4.9
06M153,PS 153 ADAM CLAYTON POWELL,Elementary (K-5),13,312,24,16,402,25.1,-3,-90,-1.1
07X029,PS/MS 029 MELROSE SCHOOL,K-8,66,1656,25.1,64,1633,25.5,2,23,-0.4
08X119,PS 119,Elementary (K-5),22,517,23.5,25,663,26.5,-3,-146,-3
08X130,PS 130 ABRAM STEVENS HEWITT,Elementary (K-5),14,255,18.2,12,310,25.8,2,-55,-7.6
08X138,PS 138 SAMUEL RANDALL,Elementary (K-5),19,419,22.1,20,503,25.2,-1,-84,-3.1
08X146,PS 146 EDWARD COLLINS,Elementary (K-5),13,274,21.1,12,310,25.8,1,-36,-4.8
09X110,PS 110 THEODORE SCHOENFELD,Elementary (K-5),12,276,23,13,332,25.5,-1,-56,-2.5
09X218,PS/IS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,K-8,98,2544,26,114,3117,27.3,-16,-573,-1.4
10X020,"PS/MS 20 POGEORGE J WERDANN, III",K-8,62,1489,24,87,2192,25.2,-25,-703,-1.2
10X023,PS 023 THE NEW CHILDREN'S SCHOOL,Elementary (K-5),12,274,22.8,12,315,26.3,0,-41,-3.4
10X032,PS 032 BELMONT,Elementary (K-5),27,517,19.1,23,596,25.9,4,-79,-6.8
10X033,PS 033 TIMOTHY DWIGHT,Elementary (K-5),26,604,23.2,25,674,27,1,-70,-3.7
10X037,PS X037 - MULTIPLE INTELLIGENCE SCHOOL,K-8,42,1057,25.2,48,1332,27.8,-6,-275,-2.6
10X094,PS 094 KINGS COLLEGE SCHOOL,Elementary (K-5),37,860,23.2,42,1056,25.1,-5,-196,-1.9
10X095,PS 095 SHEILA MENCHER,K-8,93,2317,24.9,103,2785,27,-10,-468,-2.1
10X205,PS 205 FIORELLO LAGUARDIA,Elementary (K-5),29,620,21.4,31,840,27.1,-2,-220,-5.7
10X279,"PS 279 CAPTAIN MANUEL RIVERA, JR",K-8,85,2033,23.9,93,2380,25.6,-8,-347,-1.7
10X280,PS/MS 280 MOSHOLU PARKWAY,K-8,66,1703,25.8,65,1813,27.9,1,-110,-2.1
10X310,PS 310 MARBLE HILL,Elementary (K-5),23,456,19.8,22,564,25.6,1,-108,-5.8
10X315,PS 315 LAB SCHOOL,K-8,26,503,19.3,28,762,27.2,-2,-259,-7.9
11X041,PS 041 GUN HILL ROAD,Elementary (K-5),25,605,24.2,30,758,25.3,-5,-153,-1.1
11X083,PS 083 DONALD HERTZ,K-8,151,4201,27.8,138,4122,29.9,13,79,-2
11X087,PS 087 BRONX,Elementary (K-5),15,330,22,17,471,27.7,-2,-141,-5.7
11X089,PS 089 BRONX,K-8,119,3178,26.7,131,3541,27,-12,-363,-0.3
11X096,PS 096 RICHARD RODGERS,Elementary (K-5),31,740,23.9,32,801,25,-1,-61,-1.2
11X105,PS 105 SEN ABRAHAM BERNSTEIN,Elementary (K-5),32,670,20.9,34,897,26.4,-2,-227,-5.4
11X106,PS 106 PARKCHESTER,Elementary (K-5),32,763,23.8,36,934,25.9,-4,-171,-2.1
11X111,PS 111 SETON FALLS,Elementary (K-5),18,400,22.2,19,510,26.8,-1,-110,-4.6
11X194,PS/MS 194,K-8,106,2771,26.1,116,3321,28.6,-10,-550,-2.5
12X047,PS 047 JOHN RANDOLPH,Elementary (K-5),35,794,22.7,38,959,25.2,-3,-165,-2.6
12X057,PS 057 CRESCENT,Elementary (K-5),18,345,19.2,18,457,25.4,0,-112,-6.2
12X214,PS 214,K-8,141,3473,24.6,100,2698,27,41,775,-2.3
12X691,BRONX LITTLE SCHOOL,Elementary (K-5),12,285,23.8,12,301,25.1,0,-16,-1.3
17K006,PS 006,Elementary (K-5),28,521,18.6,22,554,25.2,6,-33,-6.6
19K089,PS 089 CYPRESS HILLS,K-8,32,746,23.3,41,1071,26.1,-9,-325,-2.8
19K325,THE FRESH CREEK SCHOOL,Elementary (K-5),6,127,21.2,6,160,26.7,0,-33,-5.5
20K179,PS 179 KENSINGTON,Elementary (K-5),25,641,25.6,26,718,27.6,-1,-77,-2
20K503,PS 503: THE SCHOOL OF DISCOVERY,Elementary (K-5),30,687,22.9,35,894,25.5,-5,-207,-2.6
21K128,PS 128 BENSONHURST,Elementary (K-5),18,408,22.7,17,438,25.8,1,-30,-3.1
21K225,PS K225 - THE EILEEN E ZAGLIN,K-8,111,2363,21.3,93,2566,27.6,18,-203,-6.3
22K119,PS 119 AMERSFORT,Elementary (K-5),18,339,18.8,15,379,25.3,3,-40,-6.4
22K139,PS 139 ALEXINE A FENTY,Elementary (K-5),30,665,22.2,29,775,26.7,1,-110,-4.6
22K194,PS 194 RAOUL WALLENBERG,Elementary (K-5),18,392,21.8,17,426,25.1,1,-34,-3.3
22K198,PS 198 BROOKLYN,Elementary (K-5),12,228,19,13,326,25.1,-1,-98,-6.1
22K315,PS K315,Elementary (K-5),22,443,20.1,20,531,26.6,2,-88,-6.4
22K361,PS 361 EAST FLATBUSH EARLY CHILDHOOD SCHOOL,Elementary (K-5),16,358,22.4,17,458,26.9,-1,-100,-4.6
23K323,PS/IS 323,K-8,26,625,24,42,1169,27.8,-16,-544,-3.8
24Q014,PS 014 FAIRVIEW,Elementary (K-5),43,1053,24.5,50,1271,25.4,-7,-218,-0.9
24Q016,PS Q016 THE NANCY DEBENEDITTIS SCHOOL,Elementary (K-5),45,1039,23.1,45,1249,27.8,0,-210,-4.7
24Q019,PS 019 MARINO JEANTET,Elementary (K-5),56,1485,26.5,58,1615,27.8,-2,-130,-1.3
24Q143,PS 143 LOUIS ARMSTRONG,Elementary (K-5),56,1262,22.5,46,1154,25.1,10,108,-2.6
24Q211,ELM TREE ELEMENTARY SCHOOL,Elementary (K-5),28,672,24,23,580,25.2,5,92,-1.2
27Q104,PS 104 THE BAYS WATER,Elementary (K-5),21,470,22.4,18,508,28.2,3,-38,-5.8
27Q123,PS 123,Elementary (K-5),20,452,22.6,21,544,25.9,-1,-92,-3.3
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,Elementary (K-5),14,285,20.4,12,307,25.6,2,-22,-5.2
28Q082,PS 082 HAMMOND,Elementary (K-5),23,522,22.7,22,569,25.9,1,-47,-3.2
28Q160,PS 160 WALTER FRANCIS BISHOP,Elementary (K-5),20,476,23.8,18,475,26.4,2,1,-2.6
28Q182,PS 182 SAMANTHA SMITH,Elementary (K-5),29,560,19.3,23,597,26,6,-37,-6.6
29Q034,PS 034 JOHN HARVARD,Elementary (K-5),21,435,20.7,18,498,27.7,3,-63,-7
29Q035,PS 035 NATHANIEL WOODHULL,Elementary (K-5),22,488,22.2,22,600,27.3,0,-112,-5.1
29Q036,PS 036 SAINT ALBANS SCHOOL,Elementary (K-5),12,248,20.7,12,311,25.9,0,-63,-5.3
29Q052,PS 052 QUEENS,Elementary (K-5),12,243,20.3,12,315,26.3,0,-72,-6
29Q116,PS/IS 116 WILLIAM C HUGHLEY,K-8,70,1568,22.4,61,1597,26.2,9,-29,-3.8
29Q118,PS 118 LORRAINE HANSBERRY,Elementary (K-5),14,305,21.8,14,361,25.8,0,-56,-4
29Q268,PS/IS 268,K-8,47,1328,28.3,52,1442,27.7,-5,-114,0.5
30Q092,PS 092 HARRY T STEWART SR,Elementary (K-5),29,653,22.5,29,745,25.7,0,-92,-3.2
30Q127,PS 127 AEROSPACE SCIENCE MAGNE,K-8,112,2497,22.3,108,2912,27,4,-415,-4.7
30Q148,PS 148 QUEENS,Elementary (K-5),24,524,21.8,24,612,25.5,0,-88,-3.7
30Q149,PS 149 CHRISTA MCAULIFFE,Elementary (K-5),33,745,22.6,35,889,25.4,-2,-144,-2.8
31R020,PS 020 PORT RICHMOND,Elementary (K-5),14,332,23.7,12,330,27.5,2,2,-3.8
31R021,PS 21 MARGARET EMERY-ELM PARK,Elementary (K-5),14,315,22.5,12,320,26.7,2,-5,-4.2
